suburb,postcode,lat,lng,n_addresses,level
WHITE ROCK,4306,-27.695341,152.830828,1556,suburb_postcode
MURRUMBA DOWNS,4503,-27.268006,153.013974,5394,suburb_postcode
GRIFFIN,4503,-27.26348,153.026353,6152,suburb_postcode
BRASSALL,4305,-27.588269,152.736232,6707,suburb_postcode
SCARNESS,4655,-25.286525,152.854626,2902,suburb_postcode
ROSEMOUNT,4560,-26.626999,152.995012,980,suburb_postcode
SOUTH TOOWOOMBA,4350,-27.57532,151.952178,3688,suburb_postcode
HORSESHOE LAGOON,4809,-19.571059,147.135108,314,suburb_postcode
NEWSTEAD,4006,-27.451144,153.044406,7756,suburb_postcode
BARRATTA,4809,-19.582726,147.266197,139,suburb_postcode
JACOBS WELL,4208,-27.785286,153.365325,1762,suburb_postcode
FIG TREE POCKET,4069,-27.526368,152.961965,1773,suburb_postcode
HUGHENDEN,4821,-20.844959,144.195265,1522,suburb_postcode
SURFERS PARADISE,4217,-28.001186,153.428953,36178,suburb_postcode
COOMERA,4209,-27.845812,153.334078,9800,suburb_postcode
KULUIN,4558,-26.657376,153.055999,1551,suburb_postcode
CORNUBIA,4130,-27.667521,153.203414,3296,suburb_postcode
CARSELDINE,4034,-27.346497,153.016253,4899,suburb_postcode
OXLEY,4075,-27.560327,152.973421,5347,suburb_postcode
RICHLANDS,4077,-27.593664,152.955818,3783,suburb_postcode
NEWMARKET,4051,-27.434342,153.007944,3227,suburb_postcode
BRIDGEMAN DOWNS,4035,-27.356354,152.997944,5162,suburb_postcode
RIVERHILLS,4074,-27.561513,152.911607,1672,suburb_postcode
ALLENVIEW,4285,-27.901781,152.93197,81,suburb_postcode
SOUTH BRISBANE,4101,-27.476745,153.016004,14732,suburb_postcode
BRISBANE CITY,4000,-27.469015,153.027345,22050,suburb_postcode
KAWUNGAN,4655,-25.303956,152.843995,3416,suburb_postcode
GREENSLOPES,4120,-27.508963,153.04794,7366,suburb_postcode
AUCHENFLOWER,4066,-27.4752,152.996528,3981,suburb_postcode
MOUNT LOW,4818,-19.223011,146.663143,2291,suburb_postcode
ST LUCIA,4067,-27.496104,153.000675,6889,suburb_postcode
WEST END,4101,-27.482761,153.005442,11648,suburb_postcode
ZILLMERE,4034,-27.35805,153.040736,5096,suburb_postcode
CANNON HILL,4170,-27.468901,153.089478,4059,suburb_postcode
MARGATE,4019,-27.242411,153.105328,4750,suburb_postcode
MOUNT FORBES,4340,-27.721141,152.613628,139,suburb_postcode
ELLEN GROVE,4078,-27.618545,152.947845,1914,suburb_postcode
HEMMANT,4174,-27.451089,153.128845,2209,suburb_postcode
TOOWONG,4066,-27.483795,152.990875,9576,suburb_postcode
WESTLAKE,4074,-27.548708,152.911929,1663,suburb_postcode
TENERIFFE,4005,-27.454821,153.047837,4601,suburb_postcode
MOUNT GRAVATT EAST,4122,-27.533073,153.084586,6301,suburb_postcode
CALAMVALE,4116,-27.623504,153.04796,7639,suburb_postcode
SUNNYBANK,4109,-27.576639,153.061408,4663,suburb_postcode
MURARRIE,4172,-27.461839,153.099334,3143,suburb_postcode
FORTITUDE VALLEY,4006,-27.456497,153.034112,13423,suburb_postcode
DOOLANDELLA,4077,-27.612534,152.98303,3316,suburb_postcode
KENMORE,4069,-27.515171,152.938453,4692,suburb_postcode
YERONGA,4104,-27.514999,153.015137,4606,suburb_postcode
UPPER MOUNT GRAVATT,4122,-27.556188,153.082785,6607,suburb_postcode
