suburb,postcode,lat,lng,n_addresses,level
HOMESTEAD,4816,-20.362637,145.657422,75,suburb_postcode
AITKENVALE,4814,-19.299226,146.7683,3623,suburb_postcode
PORT OF BRISBANE,4178,-27.383031,153.171906,131,suburb_postcode
FARNSFIELD,4660,-25.113836,152.294628,89,suburb_postcode
SUNNYSIDE,4737,-21.362456,149.096111,72,suburb_postcode
PARK RIDGE SOUTH,4125,-27.728436,153.040259,778,suburb_postcode
MOUNT MARLOW,4800,-20.349093,148.64449,67,suburb_postcode
MUNDUBBERA,4626,-25.587702,151.298238,816,suburb_postcode
THE GAP,4825,-20.726784,139.499983,608,suburb_postcode
JINDALEE,4074,-27.533885,152.937877,2401,suburb_postcode
NORTH ISIS,4660,-25.196486,152.273449,408,suburb_postcode
CASHMERE,4500,-27.297972,152.928622,1748,suburb_postcode
MOFFAT BEACH,4551,-26.791884,153.138835,1977,suburb_postcode
TIN CAN BAY,4580,-25.91965,153.00322,2092,suburb_postcode
WITTA,4552,-26.707681,152.817365,655,suburb_postcode
SAUNDERS BEACH,4818,-19.157352,146.606224,251,suburb_postcode
VINCENT,4814,-19.283453,146.764225,1031,suburb_postcode
POINT ARKWRIGHT,4573,-26.546561,153.099753,246,suburb_postcode
GREEN HILL,4865,-17.036868,145.819685,115,suburb_postcode
HARRISVILLE,4307,-27.809767,152.668626,454,suburb_postcode
BELLBIRD PARK,4300,-27.637845,152.883438,4630,suburb_postcode
FOXDALE,4800,-20.342454,148.50591,49,suburb_postcode
THE RANGE,4700,-23.391498,150.497209,2381,suburb_postcode
RURAL VIEW,4740,-21.062865,149.161569,2973,suburb_postcode
WOONGARRA,4670,-24.887727,152.413524,254,suburb_postcode
CRANBROOK,4814,-19.302648,146.754004,3083,suburb_postcode
IDALIA,4811,-19.305255,146.812648,2271,suburb_postcode
STONELEIGH,4356,-27.652801,151.62317,54,suburb_postcode
DEUCHAR,4362,-28.104319,151.938656,197,suburb_postcode
EAGLE FARM,4009,-27.43295,153.088824,935,suburb_postcode
DEERAGUN,4818,-19.251934,146.67438,1987,suburb_postcode
ROSEVALE,4340,-27.862424,152.489148,133,suburb_postcode
NEWTOWN,4305,-27.616149,152.776841,705,suburb_postcode
DULACCA,4425,-26.642778,149.760281,131,suburb_postcode
WOOLMAR,4515,-26.941063,152.540605,379,suburb_postcode
TOOBANNA,4850,-18.713552,146.148952,190,suburb_postcode
TANBY,4703,-23.227307,150.758849,355,suburb_postcode
TANSEY,4601,-26.027137,152.049379,90,suburb_postcode
TARAMPA,4311,-27.490324,152.551777,123,suburb_postcode
TAROOMBALL,4703,-23.157855,150.745497,612,suburb_postcode
KARAWATHA,4117,-27.619721,153.090696,352,suburb_postcode
UPPER DARADGEE,4860,-17.518341,145.959701,51,suburb_postcode
ALVA,4807,-19.455907,147.479537,238,suburb_postcode
BROOKFIELD,4069,-27.502827,152.914225,1398,suburb_postcode
CLARE,4807,-19.784885,147.226763,268,suburb_postcode
YARRABAH,4871,-16.909449,145.872029,871,suburb_postcode
REESVILLE,4552,-26.758999,152.801168,301,suburb_postcode
FORK LAGOONS,4723,-23.4362,147.981383,12,suburb_postcode
BEMERSIDE,4850,-18.554212,146.185343,158,suburb_postcode
DALCOUTH,4380,-28.650193,151.98524,80,suburb_postcode
HOLLOWAYS BEACH,4878,-16.840881,145.738132,1584,suburb_postcode
MOUNT ST JOHN,4818,-19.257814,146.735433,350,suburb_postcode
TALWOOD,4496,-28.485808,149.465006,212,suburb_postcode
CROYDON,4871,-18.204775,142.24413,302,suburb_postcode
YANDINA CREEK,4561,-26.521013,153.025036,474,suburb_postcode
BANYA,4551,-26.827642,153.040728,3647,suburb_postcode
COOCHIEMUDLO ISLAND,4184,-27.571093,153.331751,848,suburb_postcode
VERESDALE SCRUB,4285,-27.9188,153.013524,291,suburb_postcode
BELGIAN GARDENS,4810,-19.246859,146.792483,1357,suburb_postcode
COORAN,4569,-26.336785,152.822571,912,suburb_postcode
HATTON VALE,4341,-27.550612,152.473801,718,suburb_postcode
TRUNDING,4874,-12.633618,141.873929,768,suburb_postcode
ETON,4741,-21.266146,148.972418,368,suburb_postcode
CROWLEY VALE,4342,-27.543566,152.376577,61,suburb_postcode
COTTONVALE,4375,-28.521001,151.944037,88,suburb_postcode
LEYBURN,4365,-28.010646,151.58214,364,suburb_postcode
MOUNT ISA CITY,4825,-20.72555,139.49273,625,suburb_postcode
SLACKS CREEK,4127,-27.639028,153.124777,6140,suburb_postcode
BELLI PARK,4562,-26.496374,152.837235,365,suburb_postcode
CHELONA,4740,-21.258075,149.145259,50,suburb_postcode
PARKSIDE,4825,-20.738462,139.486879,1311,suburb_postcode
PINNACLE,4741,-21.149543,148.7132,139,suburb_postcode
KENSINGTON GROVE,4341,-27.53365,152.477393,1070,suburb_postcode
BURPENGARY EAST,4505,-27.156568,152.991847,7732,suburb_postcode
CURRAJONG,4812,-19.276135,146.778362,1894,suburb_postcode
CAROLE PARK,4300,-27.62025,152.930407,262,suburb_postcode
LARK HILL,4306,-27.523421,152.597117,31,suburb_postcode
NEW CHUM,4303,-27.618148,152.829118,37,suburb_postcode
WALLUMBILLA NORTH,4428,-26.453934,149.232642,96,suburb_postcode
SOUTH STRADBROKE,4216,-27.827349,153.41439,202,suburb_postcode
YULEBA NORTH,4427,-26.456043,149.463934,27,suburb_postcode
CHINGHEE CREEK,4285,-28.28504,152.983313,15,suburb_postcode
EINASLEIGH,4871,-18.514924,144.093937,101,suburb_postcode
PLAINLAND,4341,-27.566341,152.425679,1272,suburb_postcode
MAPOON,4874,-12.018886,141.906184,388,suburb_postcode
WOOLMER,4352,-27.452046,151.927923,149,suburb_postcode
SUMMERHOLM,4341,-27.589469,152.462396,293,suburb_postcode
SOUTHERN CROSS,4820,-20.080877,146.226442,318,suburb_postcode
SOUTH INNISFAIL,4860,-17.54205,146.032541,293,suburb_postcode
BLACKSOIL,4306,-27.574385,152.705104,75,suburb_postcode
RANGEVILLE,4350,-27.584295,151.97766,4388,suburb_postcode
KALBAR,4309,-27.940307,152.625044,834,suburb_postcode
CEDAR CREEK,4207,-27.824855,153.181023,397,suburb_postcode
STONY CREEK,4514,-26.918302,152.714319,174,suburb_postcode
MUNDOWRAN,4626,-25.535958,151.332696,71,suburb_postcode
BOYNEWOOD,4626,-25.6395,151.27485,74,suburb_postcode
WOOWOONGA,4621,-25.470443,152.077784,64,suburb_postcode
KILKIVAN,4600,-26.085223,152.242536,528,suburb_postcode
WARANA,4575,-26.721765,153.130181,2689,suburb_postcode
TALEGALLA WEIR,4650,-25.797224,152.691811,93,suburb_postcode
BURNSIDE,4560,-26.63345,152.940068,1791,suburb_postcode
EDGE HILL,4870,-16.901591,145.741041,2438,suburb_postcode
KARRAGARRA ISLAND,4184,-27.63739,153.370736,310,suburb_postcode
DICKY BEACH,4551,-26.784418,153.135401,1248,suburb_postcode
MOUNT BYRON,4312,-27.163906,152.658243,27,suburb_postcode
PIE CREEK,4570,-26.238606,152.62067,659,suburb_postcode
BROOKWATER,4300,-27.657702,152.894944,1376,suburb_postcode
STANAGE,4702,-22.136952,150.050528,155,suburb_postcode
COOWONGA,4702,-23.301875,150.725812,130,suburb_postcode
TREBONNE,4850,-18.627685,146.077286,257,suburb_postcode
COOYA BEACH,4873,-16.450085,145.40634,327,suburb_postcode
CHELMER,4068,-27.514167,152.973712,1526,suburb_postcode
CURRA,4570,-26.0811,152.568771,1181,suburb_postcode
CHARLEVILLE,4470,-26.401919,146.24427,2513,suburb_postcode
SLADE POINT,4740,-21.076144,149.218128,1886,suburb_postcode
GLENLEE,4711,-23.272281,150.50122,575,suburb_postcode
BOORAL,4655,-25.361895,152.896518,1707,suburb_postcode
SMITHFIELD,4878,-16.824294,145.693915,4334,suburb_postcode
HORN,4875,-10.595562,142.248799,297,suburb_postcode
MCCUTCHEON,4856,-17.722349,146.053811,19,suburb_postcode
PINE MOUNTAIN,4306,-27.561441,152.708004,722,suburb_postcode
WALLU,4570,-25.950028,152.905331,85,suburb_postcode
CLARENDON,4311,-27.43453,152.5415,114,suburb_postcode
TELINA,4680,-23.886905,151.252686,1074,suburb_postcode
ATHOL,4350,-27.615973,151.772893,74,suburb_postcode
HIDDEN VALLEY,4703,-23.16063,150.713892,657,suburb_postcode
TALLEGALLA,4340,-27.590936,152.561781,257,suburb_postcode
MARBURG,4346,-27.567295,152.593424,802,suburb_postcode
DELANEYS CREEK,4514,-27.007394,152.787392,884,suburb_postcode
MOORES POCKET,4305,-27.598936,152.779076,420,suburb_postcode
WEST IPSWICH,4305,-27.619759,152.749328,503,suburb_postcode
JAGGAN,4885,-17.39524,145.598925,152,suburb_postcode
KAIMKILLENBUN,4406,-27.059101,151.433249,186,suburb_postcode
TAMAREE,4570,-26.134934,152.654946,416,suburb_postcode
THORNDALE,4380,-28.702139,151.853469,70,suburb_postcode
THORNTON BEACH,4873,-16.172586,145.440792,15,suburb_postcode
SPRINGSURE,4722,-24.117622,148.089057,819,suburb_postcode
FRASER ISLAND,4581,-24.961539,153.309322,177,suburb_postcode
ROYSTON,4515,-26.929565,152.660439,146,suburb_postcode
DERRI DERRA,4626,-25.692593,151.227773,66,suburb_postcode
WEST MACKAY,4740,-21.153144,149.164529,3488,suburb_postcode
GLENRAE,4626,-25.637809,151.34065,45,suburb_postcode
GARGETT,4741,-21.155738,148.745043,154,suburb_postcode
GOWRIE JUNCTION,4352,-27.488588,151.890626,984,suburb_postcode
BULWER,4025,-27.076479,153.369362,85,suburb_postcode
COCONUTS,4860,-17.5052,146.064751,155,suburb_postcode
MIDGE POINT,4799,-20.647171,148.712068,488,suburb_postcode
LILYDALE,4344,-27.60753,152.134742,34,suburb_postcode
WEST ROCKHAMPTON,4700,-23.381091,150.487764,1086,suburb_postcode
WANGETTI,4877,-16.65844,145.56657,39,suburb_postcode
PLEYSTOWE,4741,-21.144608,149.021321,190,suburb_postcode
WILLOW VALE,4209,-27.829204,153.280907,918,suburb_postcode
MURRAY UPPER,4854,-18.101155,145.832169,109,suburb_postcode
MILES END,4825,-20.71776,139.486625,257,suburb_postcode
VETERAN,4570,-26.147635,152.698948,511,suburb_postcode
DALVEEN,4374,-28.486423,151.963134,265,suburb_postcode
MENA CREEK,4871,-17.664708,145.928254,104,suburb_postcode
MOUNT TOM,4677,-24.377095,151.673518,44,suburb_postcode
THE GEMFIELDS,4702,-23.530143,147.749776,1292,suburb_postcode
YENGARIE,4650,-25.538277,152.621493,333,suburb_postcode
KELSEY CREEK,4800,-20.42253,148.47531,81,suburb_postcode
BONNIE DOON,4873,-16.450865,145.399678,298,suburb_postcode
O'BRIENS HILL,4860,-17.516861,145.988361,40,suburb_postcode
ROSSVILLE,4895,-15.749927,145.260789,183,suburb_postcode
GUNALDA,4570,-25.991663,152.564216,259,suburb_postcode
GUMDALE,4154,-27.49188,153.154572,837,suburb_postcode
MOUNT SHERIDAN,4868,-16.989051,145.736056,3958,suburb_postcode
BULLYARD,4671,-24.953297,152.055859,114,suburb_postcode
GOLDSBOROUGH,4865,-17.150797,145.742553,795,suburb_postcode
SEVENTEEN SEVENTY,4677,-24.16348,151.884985,168,suburb_postcode
GOODWOOD,4660,-25.141479,152.385204,96,suburb_postcode
GOOMBURRA,4362,-28.014199,152.171932,149,suburb_postcode
LESLIE DAM,4370,-28.241969,151.916246,58,suburb_postcode
POZIERES,4352,-28.53276,151.881724,108,suburb_postcode
RICHMOND,4740,-21.078083,149.150959,608,suburb_postcode
MOURA,4718,-24.574674,149.973528,1478,suburb_postcode
MOUNT OMMANEY,4074,-27.545876,152.934898,1378,suburb_postcode
BARELLAN POINT,4306,-27.571724,152.843143,532,suburb_postcode
CURRUMBIN VALLEY,4223,-28.182186,153.428682,997,suburb_postcode
MOUNT MELLUM,4550,-26.816734,152.932662,194,suburb_postcode
WULGURU,4811,-19.327006,146.816713,2231,suburb_postcode
WUJAL WUJAL,4895,-15.945008,145.31833,143,suburb_postcode
MOUNT HOWE,4454,-25.307027,148.188117,12,suburb_postcode
ALLAN,4370,-28.194605,151.95107,44,suburb_postcode
AEROGLEN,4870,-16.883061,145.746675,502,suburb_postcode
WOODWARK,4802,-20.27097,148.666615,314,suburb_postcode
VALE VIEW,4352,-27.645972,151.894484,182,suburb_postcode
WELLESLEY ISLANDS,4892,-16.664556,139.184462,412,suburb_postcode
SHEEP STATION CREEK,4515,-26.860237,152.527832,72,suburb_postcode
APPLE TREE CREEK,4660,-25.22731,152.233597,583,suburb_postcode
KILCOY,4515,-26.941567,152.563553,1054,suburb_postcode
SURAT,4417,-27.154249,149.067584,340,suburb_postcode
MOUNT BEPPO,4313,-27.127465,152.428272,158,suburb_postcode
PATRICK ESTATE,4311,-27.424842,152.577814,107,suburb_postcode
MANYUNG,4605,-26.204499,151.998761,57,suburb_postcode
WHEATVALE,4370,-28.165289,151.878137,29,suburb_postcode
NEWPORT,4020,-27.211261,153.085395,3971,suburb_postcode
WHITE PATCH,4507,-27.029851,153.12419,119,suburb_postcode
HAWKWOOD,4626,-25.805668,150.898706,35,suburb_postcode
ARMSTRONG BEACH,4737,-21.44973,149.288734,483,suburb_postcode
PINKENBA,4008,-27.423018,153.118306,1011,suburb_postcode
MILFORD,4310,-28.026972,152.705265,102,suburb_postcode
SLADEVALE,4370,-28.19249,152.071333,233,suburb_postcode
ORANGE HILL,4455,-26.496058,148.790756,76,suburb_postcode
DUNWICH,4183,-27.49783,153.405676,560,suburb_postcode
BIRDSVILLE,4482,-25.897992,139.352017,364,suburb_postcode
BINJOUR,4625,-25.522621,151.455826,68,suburb_postcode
TANAH MERAH,4128,-27.674169,153.171855,2141,suburb_postcode
TAMBO,4478,-24.883773,146.254001,381,suburb_postcode
TROTTER CREEK,4714,-23.68533,150.374782,28,suburb_postcode
ROSSLYN,4703,-23.167742,150.781167,406,suburb_postcode
DINGO POCKET,4854,-17.905077,145.815042,49,suburb_postcode
WALLAVILLE,4671,-25.074974,151.987853,222,suburb_postcode
MEIKLEVILLE HILL,4703,-23.114204,150.747099,337,suburb_postcode
MERIDAN PLAINS,4551,-26.769512,153.100354,2469,suburb_postcode
PICKANJINNIE,4428,-26.499,149.098137,23,suburb_postcode
GOOD NIGHT,4671,-25.249666,151.969404,146,suburb_postcode
MINBUN,4886,-17.472578,145.577417,83,suburb_postcode
MEADOWVALE,4670,-24.817887,152.259057,212,suburb_postcode
MARYVALE,4370,-28.071055,152.240748,301,suburb_postcode
ARCHERFIELD,4108,-27.565626,153.017677,1040,suburb_postcode
OCEAN VIEW,4521,-27.126434,152.808164,621,suburb_postcode
CEDARTON,4514,-26.860033,152.812751,59,suburb_postcode
CORDALBA,4660,-25.157273,152.210299,311,suburb_postcode
BABINDA,4861,-17.343784,145.921988,1146,suburb_postcode
NEW BEITH,4124,-27.749868,152.948971,2082,suburb_postcode
BENHOLME,4754,-21.166102,148.807501,52,suburb_postcode
CRYNA,4285,-28.021781,152.992896,57,suburb_postcode
CONONDALE,4552,-26.752456,152.721751,482,suburb_postcode
COOEE BAY,4703,-23.143112,150.758609,723,suburb_postcode
YENDA,4625,-25.439227,151.639997,19,suburb_postcode
DELAN,4671,-25.022388,152.053175,203,suburb_postcode
STRUCK OIL,4714,-23.62027,150.447585,143,suburb_postcode
CRAIGNISH,4655,-25.279194,152.733426,1288,suburb_postcode
CANOONA,4702,-23.052004,150.209515,51,suburb_postcode
MARLBOROUGH,4705,-22.813581,149.891613,133,suburb_postcode
SPRING CREEK,4361,-27.954166,151.990958,106,suburb_postcode
RUBYVALE,4702,-23.4154,147.689232,608,suburb_postcode
DIRRANBANDI,4486,-28.582981,148.227142,615,suburb_postcode
LILYWOOD,4513,-27.102723,152.906177,648,suburb_postcode
HAMPTON,4352,-27.355892,152.069423,242,suburb_postcode
ABINGTON,4660,-25.206004,152.333602,45,suburb_postcode
ROCKYVIEW,4701,-23.264194,150.512011,852,suburb_postcode
MULARA,4703,-23.18762,150.638094,44,suburb_postcode
MUNBURA,4740,-21.34651,149.139448,55,suburb_postcode
MOURILYAN HARBOUR,4858,-17.59291,146.094767,101,suburb_postcode
COWLEY BEACH,4871,-17.694529,146.111755,85,suburb_postcode
COLLEGE VIEW,4343,-27.556953,152.350169,51,suburb_postcode
BRIGHTVIEW,4311,-27.5136,152.490778,363,suburb_postcode
AMAMOOR CREEK,4570,-26.375622,152.510427,54,suburb_postcode
MUTDAPILLY,4307,-27.751778,152.655689,187,suburb_postcode
GLAN DEVON,4615,-26.644809,152.003056,175,suburb_postcode
PALMTREE,4352,-27.401238,152.130407,50,suburb_postcode
LAIDLEY HEIGHTS,4341,-27.634434,152.362847,603,suburb_postcode
CALAVOS,4670,-24.934894,152.427266,151,suburb_postcode
SUNSHINE ACRES,4655,-25.356031,152.791556,527,suburb_postcode
LUNDAVRA,4390,-28.094449,150.045811,28,suburb_postcode
EAST BARRON,4883,-17.27677,145.552724,144,suburb_postcode
MEANDARRA,4422,-27.324387,149.88084,181,suburb_postcode
DAVESON,4855,-17.784985,146.02855,16,suburb_postcode
WILLOWVALE,4370,-28.134969,152.027212,67,suburb_postcode
MOUNT BARNEY,4287,-28.250825,152.745062,13,suburb_postcode
BRIGHTLY,4741,-21.252176,148.897204,41,suburb_postcode
MILLCHESTER,4820,-20.090257,146.278395,350,suburb_postcode
COLOSSEUM,4677,-24.400925,151.549169,131,suburb_postcode
SPEEWAH,4881,-16.877672,145.606536,492,suburb_postcode
MOUNT WHITESTONE,4347,-27.675072,152.159304,88,suburb_postcode
PINE CREEK,4670,-25.009422,152.175755,109,suburb_postcode
CINNABAR,4600,-26.14496,152.186879,66,suburb_postcode
WUTUL,4352,-27.029388,151.811611,30,suburb_postcode
PRAIRIE,4821,-20.872323,144.603788,154,suburb_postcode
INJUNE,4454,-25.842843,148.564681,404,suburb_postcode
BARMARYEE,4703,-23.140558,150.711481,475,suburb_postcode
EUTHULLA,4455,-26.472447,148.787555,172,suburb_postcode
LUSCOMBE,4207,-27.769689,153.212638,302,suburb_postcode
BELL,4408,-26.932146,151.450632,314,suburb_postcode
GILBERTON,4208,-27.742451,153.269743,42,suburb_postcode
SEVENTY MILE,4820,-20.210231,146.280813,126,suburb_postcode
KURWONGBAH,4503,-27.236463,152.945225,565,suburb_postcode
LEICHHARDT,4305,-27.622814,152.733041,2138,suburb_postcode
GRASSTREE BEACH,4740,-21.36126,149.294986,598,suburb_postcode
TURKEY BEACH,4678,-24.083064,151.651477,277,suburb_postcode
BARNEY POINT,4680,-23.851291,151.272603,843,suburb_postcode
COVERTY,4613,-26.265726,151.499508,123,suburb_postcode
HOYA,4310,-27.97488,152.689867,119,suburb_postcode
QUNABA,4670,-24.842295,152.425067,469,suburb_postcode
BALBERRA,4740,-21.296295,149.14776,225,suburb_postcode
POSTMANS RIDGE,4352,-27.537159,152.055831,167,suburb_postcode
NEERDIE,4570,-26.002554,152.754657,76,suburb_postcode
NERIMBERA,4701,-23.402163,150.588454,147,suburb_postcode
BIDDESTON,4401,-27.55658,151.722155,131,suburb_postcode
MONA PARK,4807,-19.713374,147.236935,130,suburb_postcode
KANIMBLA,4870,-16.923115,145.722817,1261,suburb_postcode
EAST PALMERSTON,4860,-17.595826,145.849383,118,suburb_postcode
OSBORNE,4806,-19.701031,147.359149,305,suburb_postcode
FELTON,4358,-27.794479,151.772603,173,suburb_postcode
VIRGINIA,4014,-27.382217,153.062206,1793,suburb_postcode
MAIDENWELL,4615,-26.849263,151.798555,180,suburb_postcode
CAFFEY,4343,-27.696366,152.220268,34,suburb_postcode
SHOAL POINT,4750,-21.011126,149.154224,671,suburb_postcode
MOUNT RASCAL,4350,-27.63512,151.917148,287,suburb_postcode
BELYANDO,4721,-21.840794,146.678942,46,suburb_postcode
TANNYMOREL,4372,-28.293212,152.246677,107,suburb_postcode
MOUNT COLLIERY,4370,-28.285204,152.28507,119,suburb_postcode
SANDY CREEK,4515,-26.875177,152.622961,278,suburb_postcode
MOORINA,4506,-27.140051,152.877239,184,suburb_postcode
SOUTH BINGERA,4670,-24.966999,152.219124,287,suburb_postcode
BLOOMSBURY,4799,-20.687248,148.623011,394,suburb_postcode
BOOVAL,4304,-27.613536,152.790998,2084,suburb_postcode
EUKEY,4380,-28.783272,151.973029,105,suburb_postcode
WALTER LEVER ESTATE,4856,-17.732406,145.97986,32,suburb_postcode
KITOBA,4605,-26.069183,151.862074,20,suburb_postcode
EBBW VALE,4304,-27.604316,152.824852,356,suburb_postcode
BRAMSTON BEACH,4871,-17.353841,146.021498,200,suburb_postcode
CHATSWORTH,4570,-26.142844,152.623712,781,suburb_postcode
BALLANDEAN,4382,-28.801928,151.838124,217,suburb_postcode
KABRA,4702,-23.47655,150.397815,233,suburb_postcode
OAK VALLEY,4811,-19.414412,146.822764,205,suburb_postcode
MILLMERRAN DOWNS,4357,-27.983484,151.062733,65,suburb_postcode
JULIA CREEK,4823,-20.656,141.743314,413,suburb_postcode
WONGA BEACH,4873,-16.349146,145.413288,710,suburb_postcode
HORSESHOE BAY,4819,-19.12394,146.860101,719,suburb_postcode
BREDDAN,4820,-20.020738,146.296011,262,suburb_postcode
COOTHARABA,4565,-26.295744,152.944467,560,suburb_postcode
ARAMARA,4620,-25.611881,152.320609,38,suburb_postcode
MUNGY,4671,-25.289892,151.51861,7,suburb_postcode
GLENGALLAN,4370,-28.09991,152.078354,34,suburb_postcode
MACHINE CREEK,4695,-23.83767,150.937167,105,suburb_postcode
WOLVI,4570,-26.14982,152.846216,249,suburb_postcode
NEBO,4742,-21.690259,148.691954,859,suburb_postcode
DOLPHIN HEADS,4740,-21.035805,149.184326,326,suburb_postcode
ISIS RIVER,4660,-25.247117,152.376658,82,suburb_postcode
GOODGER,4610,-26.643357,151.815839,122,suburb_postcode
NEURUM,4514,-26.962534,152.700625,143,suburb_postcode
ARALUEN,4570,-26.158148,152.656416,374,suburb_postcode
MOUNT FRENCH,4310,-28.002257,152.641579,51,suburb_postcode
COLES CREEK,4570,-26.3576,152.743577,60,suburb_postcode
BOONOOROO,4650,-25.667964,152.892943,374,suburb_postcode
CONWAY,4800,-20.460442,148.723859,111,suburb_postcode
BLENHEIM,4341,-27.650936,152.321898,149,suburb_postcode
COOMINYA,4311,-27.393291,152.500078,773,suburb_postcode
MILLAA MILLAA,4886,-17.5117,145.61222,565,suburb_postcode
LARAPINTA,4110,-27.641111,153.009559,101,suburb_postcode
DEVEREUX CREEK,4753,-21.116778,148.894438,178,suburb_postcode
HIGHVALE,4520,-27.375896,152.824392,741,suburb_postcode
ILKLEY,4554,-26.727493,152.995087,314,suburb_postcode
BRYDEN,4312,-27.242283,152.59073,34,suburb_postcode
DAINTREE,4873,-16.250387,145.320514,95,suburb_postcode
DARTS CREEK,4695,-23.742846,150.943257,78,suburb_postcode
TENNYSON,4105,-27.524352,153.008125,1049,suburb_postcode
TORRINGTON,4350,-27.545518,151.889588,869,suburb_postcode
COLUMBIA,4820,-20.059636,146.2839,61,suburb_postcode
MURPHYS CREEK,4352,-27.464418,152.053817,286,suburb_postcode
GRANVILLE,4650,-25.541013,152.720707,1307,suburb_postcode
MASIG ISLAND,4875,-9.750928,143.413368,133,suburb_postcode
EL ARISH,4855,-17.805724,146.004961,243,suburb_postcode
HELIDON SPA,4344,-27.544513,152.102136,213,suburb_postcode
TALLEBUDGERA VALLEY,4228,-28.157644,153.390216,727,suburb_postcode
OTTABA,4313,-27.153084,152.395023,24,suburb_postcode
BLUEWATER PARK,4818,-19.203069,146.513878,446,suburb_postcode
ONE MILE,4305,-27.632304,152.74089,1009,suburb_postcode
SCRUBBY CREEK,4570,-26.216754,152.572988,44,suburb_postcode
HALIFAX,4850,-18.576156,146.286303,447,suburb_postcode
STOCKLEIGH,4280,-27.777658,153.067707,557,suburb_postcode
GLENARBON,4385,-28.609656,150.848639,27,suburb_postcode
HAWKINS CREEK,4850,-18.611625,146.100983,159,suburb_postcode
COOLMUNDA,4387,-28.440948,151.211458,141,suburb_postcode
BARRON,4878,-16.862943,145.702348,171,suburb_postcode
CUNGULLA,4816,-19.396765,147.110185,313,suburb_postcode
EUREKA,4660,-25.270105,152.162994,113,suburb_postcode
GREENVALE,4816,-19.000102,144.979982,235,suburb_postcode
WATTLE CAMP,4615,-26.462551,151.973561,408,suburb_postcode
BIDWILL,4650,-25.586303,152.712243,238,suburb_postcode
LAIDLEY CREEK WEST,4341,-27.668992,152.354753,90,suburb_postcode
PACKERS CAMP,4865,-17.030064,145.797091,81,suburb_postcode
UPPER BROOKFIELD,4069,-27.479163,152.85917,429,suburb_postcode
ST LAWRENCE,4707,-22.346591,149.530565,388,suburb_postcode
MINYAMA,4575,-26.699519,153.123328,1520,suburb_postcode
MOUNT CHALMERS,4702,-23.295281,150.640947,132,suburb_postcode
BADU ISLAND,4875,-10.157227,142.167125,470,suburb_postcode
BOOLBOONDA,4671,-25.067713,151.685848,60,suburb_postcode
BLACK MOUNTAIN,4563,-26.408019,152.87044,717,suburb_postcode
KARRABIN,4306,-27.597625,152.709024,205,suburb_postcode
BAUPLE,4650,-25.845807,152.630804,539,suburb_postcode
TE KOWAI,4740,-21.170726,149.120302,110,suburb_postcode
GLENLOGAN,4280,-27.832251,153.003669,499,suburb_postcode
CANNON VALLEY,4800,-20.306409,148.666091,678,suburb_postcode
MOUNT MARIA,4674,-24.537644,151.8151,166,suburb_postcode
NEW MAPOON,4876,-10.867229,142.383441,136,suburb_postcode
ETTY BAY,4858,-17.578708,146.075108,240,suburb_postcode
KANDANGA CREEK,4570,-26.397531,152.625496,72,suburb_postcode
SEVENTEEN MILE,4344,-27.455955,152.184798,18,suburb_postcode
BLANCHVIEW,4352,-27.568578,152.040446,81,suburb_postcode
SANDY RIDGES,4615,-26.52418,152.018911,62,suburb_postcode
BELIVAH,4207,-27.754794,153.182828,468,suburb_postcode
WEBB,4860,-17.530115,146.046001,232,suburb_postcode
KUMBARILLA,4405,-27.29071,150.916987,137,suburb_postcode
MOUNT SURPRISE,4871,-18.146268,144.318228,43,suburb_postcode
VILLENEUVE,4514,-26.958958,152.631887,147,suburb_postcode
SUMNER,4074,-27.564157,152.936153,994,suburb_postcode
SOUTH KOLAN,4670,-24.925358,152.174653,517,suburb_postcode
COOYAR,4402,-26.982597,151.834214,242,suburb_postcode
MEMERAMBI,4610,-26.451415,151.823654,284,suburb_postcode
PORTSMITH,4870,-16.939484,145.767854,1138,suburb_postcode
IRVINEBANK,4887,-17.427093,145.20514,121,suburb_postcode
CALLEMONDAH,4680,-23.851581,151.230271,127,suburb_postcode
KIN KIN,4571,-26.261719,152.875253,545,suburb_postcode
PINBARREN,4568,-26.330624,152.855305,226,suburb_postcode
KAMERUNGA,4870,-16.87556,145.672872,786,suburb_postcode
BUARABA,4311,-27.365198,152.341836,114,suburb_postcode
BARLOWS HILL,4703,-23.107829,150.743933,420,suburb_postcode
BOIGU ISLAND,4875,-9.230469,142.220521,74,suburb_postcode
CULLINANE,4860,-17.513461,146.028511,277,suburb_postcode
NOME,4816,-19.35757,146.929902,849,suburb_postcode
PICNIC BAY,4819,-19.176566,146.838597,545,suburb_postcode
PINDI PINDI,4798,-20.85813,148.731843,53,suburb_postcode
PIN GIN HILL,4860,-17.557448,145.957942,108,suburb_postcode
THE PALMS,4570,-26.193113,152.591482,567,suburb_postcode
SHARON,4670,-24.884855,152.261598,566,suburb_postcode
WAVELL HEIGHTS,4012,-27.393653,153.048194,4714,suburb_postcode
GOGANGO,4702,-23.656102,150.019436,110,suburb_postcode
VICTORIA PLAINS,4751,-21.207696,149.013187,163,suburb_postcode
RANGES BRIDGE,4405,-27.145913,151.085903,65,suburb_postcode
ARATULA,4309,-27.986196,152.541878,391,suburb_postcode
INGLEWOOD,4387,-28.416353,151.079611,709,suburb_postcode
ISIS CENTRAL,4660,-25.198854,152.189982,131,suburb_postcode
